Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Meta: _flipsart_number
variable,flipsart001,Analog Horizons,1,0,visible,Digital Painting on Canvas · 2023 · Editioned Artwork · Numbered Certificate of Authenticity included.,"Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas.
Year: 2023.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,,,0,1,,Art,"FLIPSART, Editioned canvas, Digital painting","https://shop.flipsight.be/wp-content/uploads/2026/05/flips001.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips001a.jpeg",,Size,"50x70, 70x120",1,1,50x70,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,Digital Painting on Canvas,1,0,001
variation,flipsart001-50x70,Analog Horizons – 50 × 70 cm,1,0,visible,,Medium Edition: 50 × 70 cm. Edition of 7. Price incl. 6% VAT: €250.,taxable,,1,7,0,1,250,,,,flipsart001,Size,50x70,1,1,,,,,,,,,,001
variation,flipsart001-70x120,Analog Horizons – 70 × 120 cm,1,0,visible,,Large Edition: 70 × 120 cm. Edition of 5. Price incl. 6% VAT: €350.,taxable,,1,5,0,1,350,,,,flipsart001,Size,70x120,1,1,,,,,,,,,,001
simple,flipsart002,Still Spinning,1,0,visible,"Digital Painting on Canvas, Diptych · 2023 · Editioned Artwork · Numbered Certificate of Authenticity included.","Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas, Diptych.
Year: 2023.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,1,12,0,1,390,Art,"FLIPSART, Editioned canvas, Digital painting",https://shop.flipsight.be/wp-content/uploads/2026/05/flips002.jpeg,,Size,70x100-plus-70x25,1,1,70x100-plus-70x25,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,"Digital Painting on Canvas, Diptych",1,0,002
simple,flipsart003,Tales of Ever,1,0,visible,"Digital Painting on Canvas, Diptych · 2024 · Editioned Artwork · Numbered Certificate of Authenticity included.","Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas, Diptych.
Year: 2024.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,1,12,0,1,390,Art,"FLIPSART, Editioned canvas, Digital painting","https://shop.flipsight.be/wp-content/uploads/2026/05/flips003.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips003a.jpeg",,Size,70x100-plus-30x100,1,1,70x100-plus-30x100,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,"Digital Painting on Canvas, Diptych",1,0,003
variable,flipsart004,Sunsight on Side B,1,0,visible,Digital Painting on Canvas · 2024 · Editioned Artwork · Numbered Certificate of Authenticity included.,"Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas.
Year: 2024.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,,,0,1,,Art,"FLIPSART, Editioned canvas, Digital painting",https://shop.flipsight.be/wp-content/uploads/2026/05/flips004.jpeg,,Size,"50x70, 70x100",1,1,50x70,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,Digital Painting on Canvas,1,0,004
variation,flipsart004-50x70,Sunsight on Side B – 50 × 70 cm,1,0,visible,,Medium Edition: 50 × 70 cm. Edition of 7. Price incl. 6% VAT: €250.,taxable,,1,7,0,1,250,,,,flipsart004,Size,50x70,1,1,,,,,,,,,,004
variation,flipsart004-70x100,Sunsight on Side B – 70 × 100 cm,1,0,visible,,Large Edition: 70 × 100 cm. Edition of 5. Price incl. 6% VAT: €350.,taxable,,1,5,0,1,350,,,,flipsart004,Size,70x100,1,1,,,,,,,,,,004
simple,flipsart005,The City Was Already Listening,1,0,visible,"Digital Painting on Canvas, Diptych · 2024 · Editioned Artwork · Numbered Certificate of Authenticity included.","Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas, Diptych.
Year: 2024.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,1,12,0,1,390,Art,"FLIPSART, Editioned canvas, Digital painting",https://shop.flipsight.be/wp-content/uploads/2026/05/flips005.jpeg,,Size,70x100-plus-70x25,1,1,70x100-plus-70x25,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,"Digital Painting on Canvas, Diptych",1,0,005
variable,flipsart006,Monstera Synthesis,1,0,visible,Digital Painting on Canvas · 2025 · Editioned Artwork · Numbered Certificate of Authenticity included.,"Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas.
Year: 2025.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,,,0,1,,Art,"FLIPSART, Editioned canvas, Digital painting","https://shop.flipsight.be/wp-content/uploads/2026/05/flips006.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips006a.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips006b.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips006c.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips006d.jpeg",,Size,"50x70, 120x90",1,1,50x70,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,Digital Painting on Canvas,1,0,006
